OriginISO,OriginName,AsylumISO,AsylumName,Year,Count
SDN,Sudan,ISR,Israel,2016,131
COD,Dem. Rep. of the Congo,RWA,Rwanda,2017,8727
SOM,Somalia,GRC,Greece,2017,208
BFA,Burkina Faso,BRA,Brazil,2018,10
MLI,Mali,BRA,Brazil,2018,11
SOM,Somalia,GRC,Greece,2018,816
SDN,Sudan,ISR,Israel,2018,87
BFA,Burkina Faso,BRA,Brazil,2019,35
MLI,Mali,BRA,Brazil,2019,46
SOM,Somalia,GRC,Greece,2019,2717
BFA,Burkina Faso,BRA,Brazil,2020,10
COD,Dem. Rep. of the Congo,HKG,"China, Hong Kong SAR",2020,7
MLI,Mali,BRA,Brazil,2020,20
SOM,Somalia,HKG,"China, Hong Kong SAR",2020,10
BFA,Burkina Faso,BRA,Brazil,2021,11
MLI,Mali,BRA,Brazil,2021,22
BFA,Burkina Faso,BRA,Brazil,2022,11
MLI,Mali,BRA,Brazil,2022,10
BFA,Burkina Faso,BRA,Brazil,2023,23
BFA,Burkina Faso,DEU,Germany,2023,5
COD,Dem. Rep. of the Congo,DEU,Germany,2023,32
MLI,Mali,BRA,Brazil,2023,13
NER,Niger,DEU,Germany,2023,5
SOM,Somalia,DEU,Germany,2023,14
SDN,Sudan,CYP,Cyprus,2023,17
SDN,Sudan,DEU,Germany,2023,33
SDN,Sudan,JPN,Japan,2023,21
BFA,Burkina Faso,BRA,Brazil,2024,22
COD,Dem. Rep. of the Congo,DEU,Germany,2024,7
MLI,Mali,BRA,Brazil,2024,5
SOM,Somalia,DEU,Germany,2024,10
SDN,Sudan,CYP,Cyprus,2024,31
SDN,Sudan,JPN,Japan,2024,21
SDN,Sudan,LBY,Libya,2024,198000
COD,Dem. Rep. of the Congo,DEU,Germany,2025,5
MLI,Mali,BRA,Brazil,2025,6
SDN,Sudan,DEU,Germany,2025,6
SDN,Sudan,LBY,Libya,2025,115000
